WellDates
Date,Depth To Water (Decimal Feet)
1-Jul-1928,5
8-Dec-1937,30
1-Apr-1938,8
1-Jan-1940,34
6-Jul-1940,37
1-Jan-1941,20
1-Mar-1941,0
1-Jan-1942,10
1-Jan-1944,36
1-Jan-1946,6
1-Jan-1947,0
1-May-1947,9
26-Jun-1947,24
14-May-1948,100
14-May-1948,16
23-Dec-1949,44
1-Jan-1950,0
31-May-1951,36
10-Dec-1952,36
1-Jan-1953,22
10-Apr-1953,50
20-Aug-1953,84
1-Jan-1954,8
1-Apr-1954,57
1-May-1954,0
4-Jun-1954,25
9-Jul-1954,30
29-Nov-1954,0
19-Mar-1955,75
13-Apr-1955,9
1-Jun-1955,0
28-Jun-1955,14
4-Jul-1955,0
2-Aug-1955,48
29-Aug-1955,70
30-Sep-1955,99
1-Nov-1955,0
1-Jan-1956,80
1-Jan-1956,35
1-Mar-1956,100
7-Mar-1956,100
19-Mar-1956,100
19-Mar-1956,19
1-Apr-1956,73
4-Apr-1956,85
4-Apr-1956,87
15-Apr-1956,120
15-Apr-1956,42
20-Apr-1956,79
26-Apr-1956,24
28-Apr-1956,55
18-May-1956,90
31-May-1956,40
4-Jun-1956,100
8-Jun-1956,73
10-Aug-1956,17
9-Oct-1956,14
10-Nov-1956,41
10-Nov-1956,39
18-Nov-1956,27
20-Nov-1956,80
29-Nov-1956,100
1-Dec-1956,90
1-Jan-1957,31
3-Jan-1957,22
28-Feb-1957,26
8-Mar-1957,0
10-Mar-1957,90
14-Mar-1957,97
15-Mar-1957,86
26-Apr-1957,36
22-May-1957,155
20-Jun-1957,60
21-Jun-1957,86
28-Jun-1957,40
14-Jul-1957,41
22-Jul-1957,32
15-Nov-1957,15
18-Oct-1958,47
25-Mar-1959,77
12-May-1959,98
30-Jun-1959,22
1-Jan-1960,12
15-May-1960,65
20-May-1960,33
25-Jun-1960,38
12-Oct-1960,23
15-Jul-1961,80
20-Dec-1961,34
1-Jan-1962,76
27-Jul-1962,30
31-Jul-1962,9
20-Oct-1962,18
1-Jul-1963,12
30-Apr-1964,98
11-May-1964,15
10-Jun-1964,10
2-Jul-1964,127
22-Sep-1964,176
15-Oct-1964,57
5-Nov-1964,63
17-May-1965,12
5-Jun-1965,65
15-Jun-1965,48
25-Jun-1965,27
12-Jul-1965,60
23-Jul-1965,73
5-Aug-1965,9
24-Feb-1966,16
7-Mar-1966,27
5-May-1966,50
12-May-1966,103
16-Jun-1966,70
24-Jun-1966,105
1-Jul-1966,155
7-Nov-1966,105
8-Feb-1967,21
8-Mar-1967,92
28-Mar-1967,86
30-Mar-1967,38
1-Apr-1967,94
7-Apr-1967,55
9-May-1967,85
10-May-1967,11
28-Jun-1967,36
25-Jul-1967,80
20-Oct-1967,24
1-Apr-1968,13
14-Apr-1968,64
18-Apr-1968,74
30-Apr-1968,15
8-May-1968,45
16-May-1968,120
26-Jun-1968,12
15-Apr-1969,16
28-Apr-1969,89
30-Apr-1969,99
2-Jun-1969,48
25-Jun-1969,40
3-Jul-1969,58
15-Jul-1969,55
5-Aug-1969,60
13-Aug-1969,70
23-Sep-1969,74
9-Oct-1969,181
4-Apr-1970,74
12-May-1970,100
4-Jun-1970,27
20-Jul-1970,26
21-Dec-1970,95
6-Mar-1971,205
22-Mar-1971,53
7-Apr-1971,55
29-Apr-1971,97
8-May-1971,20
12-May-1971,100
20-Jun-1971,158
29-Jun-1971,152
23-Jul-1971,91
23-Jul-1971,90
30-Jul-1971,66
27-Oct-1971,23
18-Dec-1971,80
28-Feb-1972,54
10-Mar-1972,160
25-Mar-1972,9
31-Mar-1972,92
5-May-1972,43
8-May-1972,95
17-May-1972,219
6-Jun-1972,45
12-Jun-1972,100
14-Jun-1972,41
15-Jun-1972,75
22-Jun-1972,14
1-Sep-1972,47
12-Oct-1972,20
18-Oct-1972,35
9-Jun-1973,107
9-Jun-1973,85
22-Jun-1973,108
10-Jul-1973,40
16-Jul-1973,9
29-Jan-1974,15
19-Mar-1974,25
